MQTT,Message Queuing Telemetry Transport Protocol
OPC UA,OPC Unified Architecture
DTLS,Datagram Transport Layer Security
PPMP,Production Performance Management Protocol
ABAC,Attribute Based Access Control
APPSTACLE,open standard APplication Platform for carS and TrAnsportation vehiCLEs
AGL,Automotive Grade Linux
DDS,Data Distribution Service
WoT,Web of Thing
ZMQ,ZeroMQ - high-performance asynchronous messaging library
RabbitMQ,open-source message-broker software
Calypso,the standard for contactless tickets and cards
